"","State","Lat","Long"
"147","Nevada",38.3135,-117.0554
"148","New Castle, DE",39.5393,-75.6674
"149","New Hampshire",43.4525,-71.5639
"150","New Jersey",40.2989,-74.521
"151","New Mexico",34.8405,-106.2485
"152","New York",42.1657,-74.9481
"153","New York County, NY",40.7128,-74.006
"154","Noble, IN",41.4277,-85.355
"155","Norfolk County, MA",42.1767,-71.1449
"156","Norfolk, VA",36.8508,-76.2859
"157","North Carolina",35.6301,-79.8064
"158","North Dakota",47.5289,-99.784
"159","Northern Mariana Islands",15.0979,145.6739
"160","Oakland, MI",42.5922,-83.3362
"161","Ohio",40.3888,-82.7649
"162","Okaloosa County, FL",30.5773,-86.6611
"163","Oklahoma",35.5653,-96.9289
"164","Olmsted, MN",43.9952,-92.3814
"165","Orange County, CA",33.7879,-117.8531
"166","Oregon",44.572,-122.0709
"167","Orleans, LA",29.9511,-90.0715
"168","Pasco, FL",28.3232,-82.4319
"169","Passaic, NJ",40.8568,-74.1285
"170","Pennington, SD",43.8901,-102.2548
"171","Pennsylvania",40.5908,-77.2098
"172","Philadelphia, PA",39.9526,-75.1652
"173","Pierce County, WA",47.0676,-122.1295
"174","Pierce, WI",44.7509,-92.3814
"175","Pima, AZ",32.0575,-111.6661
"176","Pinal County, AZ",32.8162,-111.2845
"177","Pinellas, FL",27.8764,-82.7779
"178","Placer County, CA",39.0916,-120.8039
"179","Polk County, GA",34.0132,-85.1479
"180","Polk, OR",44.9267,-123.4919
"181","Pottawattamie, IA",41.3912,-95.4778
"182","Prince George's, MD",38.7849,-76.8721
"183","Providence County, RI",41.8882,-71.4774
"184","Puerto Rico",18.2208,-66.5901
"185","Ramsey County, MN",44.9964,-93.0616
"186","Recovered",0,0
"187","Rhode Island",41.6809,-71.5118
"188","Riverside County, CA",33.9533,-117.3961
"189","Rockingham County, NH",42.9931,-71.0498
"190","Rockland County, NY",41.1489,-73.983
"191","Sacramento County, CA",38.4747,-121.3542
"192","San Benito, CA",36.5761,-120.9876
"193","San Diego County, CA",32.7157,-117.1611
"194","San Francisco County, CA",37.7749,-122.4194
"195","San Joaquin, CA",36.6066,-120.189
"196","San Mateo, CA",37.563,-122.3255
"197","Santa Clara County, CA",37.3541,-121.9552
"198","Santa Cruz, CA",37.0454,-121.958
"199","Santa Rosa County, FL",30.769,-86.9824
"200","Saratoga County, NY",43.0324,-73.936
"201","Shasta County, CA",40.7909,-121.8474
"202","Shelby County, TN",35.1269,-89.9253
"203","Skagit, WA",48.4242,-121.7114
"204","Snohomish County, WA",48.033,-121.8339
"205","Socorro, NM",33.8837,-106.7235
"206","Solano, CA",38.3105,-121.9018
"207","Sonoma County, CA",38.578,-122.9888
"208","South Carolina",33.8569,-80.945
"209","South Dakota",44.2998,-99.4388
"210","Spartanburg County, SC",34.8606,-81.9535
"211","Spotsylvania, VA",38.2042,-77.6078
"212","St. Joseph, IN",41.6228,-86.3377
"213","St. Louis County, MO",38.6103,-90.4125
"214","Stanislaus, CA",37.5091,-120.9876
"215","Stark, OH",40.8685,-81.2519
"216","Suffolk County, MA",42.3601,-71.0589
"217","Suffolk County, NY",40.9849,-72.6151
"218","Sullivan, TN",36.4933,-82.3452
"219","Summit County, CO",39.5912,-106.064
"220","Summit, UT",40.8298,-110.9984
"221","Tarrant, TX",32.7732,-97.3517
"222","Tennessee",35.7478,-86.6923
"223","Texas",31.0545,-97.5635
"224","Thurston, WA",46.8646,-122.7696
"225","Tulsa County, OK",36.1593,-95.941
"226","Ulster County, NY",41.8586,-74.3118
"227","Umatilla, OR",45.775,-118.7606
"228","Union, NJ",40.6976,-74.2632
"229","United States Virgin Islands",18.3358,-64.8963
"230","US",37.0902,-95.7129
